callback,white,job,firm
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,1,2,1
0,0,2,1
0,0,3,1
0,1,3,1
0,0,3,1
0,1,3,1
0,1,3,1
0,0,3,1
0,0,3,1
0,1,3,1
1,0,4,1
0,1,4,1
0,1,4,1
0,0,4,1
0,1,4,1
0,0,4,1
0,0,4,1
0,1,4,1
0,0,5,1
0,1,5,1
0,1,5,1
0,0,5,1
0,0,6,1
0,1,6,1
0,0,6,1
0,1,6,1
0,0,6,1
0,1,6,1
0,0,6,1
0,1,6,1
0,0,7,1
0,1,7,1
0,1,7,1
0,0,7,1
0,0,7,1
0,1,7,1
0,1,7,1
0,0,7,1
0,0,8,1
1,1,8,1
0,0,8,1
1,1,8,1
0,0,8,1
0,1,8,1
0,1,9,1
0,0,9,1
0,0,9,1
0,1,9,1
0,0,9,1
0,1,9,1
0,1,10,1
0,0,10,1
1,1,10,1
1,0,10,1
1,1,10,1
1,0,10,1
1,0,10,1
0,1,10,1
0,1,11,1
0,0,11,1
0,1,11,1
0,0,11,1
0,0,11,1
0,1,11,1
0,0,11,1
0,1,11,1
0,0,12,1
0,1,12,1
0,0,12,1
0,1,12,1
0,1,12,1
0,0,12,1
0,1,12,1
0,0,12,1
0,1,13,1
0,0,13,1
0,1,13,1
1,0,13,1
0,1,13,1
0,0,13,1
1,1,13,1
0,0,13,1
0,0,14,1
0,1,14,1
0,0,14,1
0,1,14,1
0,0,14,1
0,1,14,1
0,1,15,1
0,0,15,1
0,1,15,1
0,0,15,1
0,1,15,1
0,0,15,1
0,0,15,1
0,1,15,1
0,1,16,1
0,0,16,1
1,1,16,1
1,0,16,1
1,1,16,1
1,0,16,1
1,1,16,1
1,0,16,1
0,0,17,1
1,1,17,1
1,0,17,1
0,1,17,1
1,1,17,1
0,0,17,1
0,0,17,1
0,1,17,1
0,0,18,1
0,1,18,1
0,0,18,1
0,1,18,1
0,1,18,1
0,0,18,1
0,1,18,1
0,0,18,1
0,0,19,1
0,1,19,1
0,0,19,1
1,1,19,1
0,1,20,1
0,0,20,1
0,1,20,1
0,0,20,1
0,0,20,1
0,1,20,1
0,0,20,1
0,1,20,1
0,0,21,1
1,1,21,1
1,1,21,1
1,0,21,1
0,0,21,1
1,1,21,1
0,1,21,1
0,0,21,1
0,1,22,1
0,0,22,1
1,1,22,1
0,0,22,1
1,1,22,1
1,0,22,1
0,1,22,1
0,0,22,1
1,1,23,1
1,0,23,1
0,1,23,1
0,0,23,1
0,1,23,1
0,0,23,1
0,1,23,1
0,0,23,1
1,1,24,1
0,0,24,1
0,0,24,1
0,1,24,1
0,0,24,1
0,1,24,1
0,0,24,1
0,1,24,1
0,1,25,1
0,0,25,1
0,0,25,1
0,1,25,1
0,0,25,1
0,1,25,1
0,1,25,1
0,0,25,1
0,1,26,2
0,0,26,2
0,1,26,2
0,0,26,2
0,1,26,2
0,0,26,2
0,1,26,2
0,0,26,2
0,0,27,2
0,1,27,2
0,1,27,2
0,0,27,2
0,1,27,2
0,0,27,2
0,0,27,2
0,1,27,2
0,1,28,2
0,0,28,2
0,1,28,2
0,0,28,2
0,0,28,2
0,1,28,2
0,1,28,2
0,0,28,2
0,1,29,2
0,0,29,2
0,0,29,2
0,1,29,2
0,1,29,2
0,0,29,2
0,1,29,2
0,0,29,2
0,0,30,2
0,1,30,2
0,0,30,2
0,1,30,2
0,1,30,2
0,0,30,2
0,0,30,2
0,1,30,2
0,0,31,2
0,1,31,2
0,0,31,2
1,1,31,2
1,0,31,2
0,1,31,2
1,0,31,2
1,1,31,2
0,1,32,2
0,0,32,2
0,0,32,2
0,1,32,2
0,1,32,2
0,0,32,2
0,0,32,2
0,1,32,2
1,0,33,2
1,1,33,2
1,0,33,2
1,1,33,2
0,0,33,2
0,1,33,2
0,1,33,2
0,0,33,2
0,1,34,2
0,0,34,2
0,1,34,2
0,0,34,2
0,1,34,2
0,0,34,2
1,0,34,2
0,1,34,2
0,1,35,2
0,0,35,2
0,0,35,2
0,1,35,2
0,1,35,2
0,0,35,2
0,1,35,2
0,0,35,2
0,0,36,2
0,1,36,2
0,1,36,2
0,0,36,2
0,1,36,2
0,0,36,2
0,0,36,2
0,1,36,2
0,1,37,2
0,0,37,2
0,0,37,2
1,1,37,2
0,1,37,2
0,0,37,2
0,0,37,2
0,1,37,2
0,0,38,2
0,1,38,2
0,1,38,2
0,0,38,2
0,1,38,2
0,0,38,2
0,1,38,2
0,0,38,2
0,0,39,2
0,1,39,2
0,0,39,2
0,1,39,2
0,0,39,2
0,1,39,2
